Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
25,Male,Bachelor's,Widowed,,796,26214,Personal,Employed,13,Good,0.176125321,82186,2,North Hollyfort,NJ,Ireland,0,2,Low
64,Non-binary,High School,Divorced,85573,667,14241,Business,Employed,16,Fair,0.323489197,230858,0,East Angelaburgh,AS,British Virgin Islands,1,1,Medium
37,Female,High School,Widowed,51979,,,Home,Employed,2,Fair,0.271581309,197984,,South Kevin,MH,France,4,0,High
59,Female,PhD,Divorced,95653,647,47580,Auto,Unemployed,3,Poor,0.133508732,226984,3,Lamshire,KS,Mauritania,,2,High
46,Male,Bachelor's,Single,,,,Auto,Unemployed,0,Excellent,0.130809905,67633,1,Chavezberg,MT,Northern Mariana Islands,1,2,High
69,Female,High School,Married,95017,711,21270,Home,Self-employed,13,Excellent,0.407406194,244404,1,Lake Vickie,WV,Botswana,0,1,Low
66,Male,PhD,Divorced,47188,737,,Home,Employed,11,Poor,0.193834267,251746,4,East Robinmouth,KS,Yemen,4,2,High
65,Male,Master's,Single,,717,37917,Auto,Self-employed,18,Poor,0.314978559,146496,1,South Steven,IN,Tunisia,0,2,Low
45,Female,Bachelor's,Divorced,60770,,,Home,Self-employed,5,Excellent,0.120077337,215667,,New Kathleen,VA,San Marino,1,0,High
35,Male,PhD,Divorced,79026,,48277,Personal,Employed,13,Fair,0.338594886,173408,0,New Heidi,WY,China,4,0,Medium
20,Female,Master's,Married,50110,776,,Business,Self-employed,14,Poor,0.409431133,207157,1,Bellberg,KY,Italy,2,2,High
44,Male,Bachelor's,Single,,728,37802,Personal,Employed,0,Good,0.362748287,67164,,Joyshire,ND,Benin,4,2,High
44,Non-binary,PhD,Widowed,63998,742,,Auto,Unemployed,12,Poor,0.402118336,236347,1,Ronnieton,MN,Switzerland,4,2,Low
36,Male,PhD,Single,34864,782,11357,Auto,Unemployed,1,Poor,0.322304125,,,Port Megan,WA,Faroe Islands,1,1,High
28,Non-binary,Master's,Married,74869,635,49683,Home,Unemployed,12,Poor,0.482880222,143723,,Port Kim,UT,Philippines,2,2,High
34,Non-binary,Bachelor's,Single,,692,40195,Auto,Self-employed,8,Poor,0.573851952,159258,3,East Oliviastad,AK,Samoa,1,1,Low
37,Non-binary,Bachelor's,Widowed,83027,622,22143,Business,Self-employed,8,Fair,0.562423381,210540,,West Julia,MO,Sudan,,0,Medium
53,Non-binary,PhD,Widowed,96347,797,48628,Auto,Self-employed,14,Poor,0.385209444,22946,4,Kimchester,TN,Honduras,3,1,Medium
68,Female,High School,Widowed,53055,,35856,Business,Unemployed,13,Excellent,0.176544906,59247,3,West Robertmouth,NM,Liechtenstein,0,2,Low
23,Female,High School,Single,31440,649,8610,Home,Employed,6,Good,0.339682398,230457,2,Allenville,NV,Angola,0,0,Low
21,Female,Bachelor's,Divorced,110348,753,9770,Personal,Self-employed,4,Excellent,0.212275918,198390,2,North Williamshire,UT,Burundi,,2,Medium
45,Non-binary,High School,Widowed,41038,770,9932,Personal,Unemployed,15,Poor,0.20611945,26127,1,South Luke,FL,Trinidad and Tobago,0,1,Low
57,Non-binary,Master's,Divorced,65630,690,,Business,Self-employed,9,Good,0.285632267,,,South Kristaside,OR,Nauru,,2,Medium
22,Male,High School,Divorced,,640,40215,Business,Self-employed,10,Excellent,0.469599544,133428,4,Amandaville,WY,Reunion,1,1,High
49,Male,High School,Married,47506,754,,Auto,Unemployed,12,Poor,0.204799683,138245,0,Carolineborough,AK,Montenegro,2,0,High
22,Male,Bachelor's,Widowed,72249,697,6492,Personal,Employed,4,Excellent,0.292539227,,3,Robertsonchester,HI,Guam,0,0,Low
30,Non-binary,Bachelor's,Widowed,97551,,27058,Business,Self-employed,12,Poor,0.452827693,267746,1,Jacobborough,GU,Holy See (Vatican City State),4,2,High
46,Male,Bachelor's,Divorced,22395,668,29683,Personal,Unemployed,9,Fair,0.508702056,274795,4,South Justin,RI,Andorra,,0,Low
68,Female,Bachelor's,Widowed,101171,746,33368,Home,Unemployed,0,Fair,0.34860512,170018,2,West Glennburgh,VA,Japan,3,0,Medium
20,Male,PhD,Widowed,,780,,Personal,Unemployed,17,Good,0.378250968,270916,3,West Kristy,WY,Bosnia and Herzegovina,3,1,High
65,Non-binary,Master's,Widowed,57126,605,9655,Auto,Employed,1,Fair,0.48286979,82449,1,East Alexanderfort,NM,Colombia,3,0,High
62,Male,High School,Widowed,48949,771,,Home,Self-employed,6,Excellent,0.516812378,46022,3,Georgeton,KS,Israel,2,2,High
36,Female,Bachelor's,Single,108304,675,46461,Auto,Self-employed,15,Excellent,0.134004327,,0,South Teresaburgh,IL,Japan,1,2,Medium
36,Male,Bachelor's,Widowed,,688,45924,Home,Unemployed,0,Poor,0.282891871,,3,East Stephen,AL,Israel,4,2,Low
61,Non-binary,Bachelor's,Single,50982,694,6273,Personal,Unemployed,5,Good,0.501813699,288578,3,West Richard,NJ,Puerto Rico,,1,Low
24,Male,PhD,Divorced,,677,33008,Auto,Employed,10,Fair,0.553132175,170497,,East James,CT,Iceland,3,1,High
61,Male,Bachelor's,Divorced,82303,740,45679,Home,Unemployed,14,Poor,0.231465096,64211,1,East Jonathan,RI,Mexico,4,1,Low
61,Female,High School,Widowed,,726,32007,Business,Unemployed,4,Fair,0.30438279,267854,4,Jasonfort,TN,Tuvalu,2,2,Medium
67,Male,Bachelor's,Married,,,37439,Home,Unemployed,17,Fair,0.468533694,36027,3,Port Joelborough,VT,Japan,4,1,High
21,Male,PhD,Single,,610,49449,Personal,Employed,18,Good,0.150887834,118343,,North Ruth,FL,Antigua and Barbuda,4,0,High
53,Male,Master's,Single,25731,766,15311,Business,Self-employed,11,Fair,0.534049431,266677,0,West Holly,NV,Spain,3,1,High
38,Male,Master's,Widowed,91301,,19702,Personal,Employed,6,Poor,0.434255308,,3,New Dawn,AR,Andorra,1,2,Low
45,Non-binary,Master's,Married,75919,773,25766,Home,Self-employed,13,Poor,0.298646364,40789,0,Rochaville,HI,Greenland,1,2,Medium
43,Female,PhD,Single,110744,744,28474,Home,Self-employed,17,Good,0.187054851,60588,,Julieview,NY,United States of America,2,2,Low
69,Non-binary,Master's,Single,,743,38565,Business,Employed,19,Good,0.198294289,109266,0,Jonesport,OR,French Guiana,1,1,Low
59,Female,Master's,Married,88382,662,45870,Personal,Unemployed,19,Excellent,0.229779258,125622,3,Bethhaven,KY,Japan,2,2,Low
21,Non-binary,PhD,Married,70785,,10852,Home,Self-employed,6,Fair,0.520406836,116579,,Lake Alexander,MD,Lesotho,,2,Medium
29,Female,Master's,Widowed,,738,49410,Auto,Self-employed,14,Poor,0.363452843,188847,,Victoriafurt,ND,Bermuda,4,1,High
18,Male,PhD,Married,80378,639,31920,Business,Employed,11,Good,0.124848541,214743,3,South Amymouth,IA,Macao,3,0,Medium
